Switch hostname,Port,Peer switch hostname,Peer switch port,,
MDF3560-1,1/0/11,MERCY-2960-MDF,1/0/48,,
MDF3560-1,1/0/12,MERCY-2960-MDF,1/0/47,,
MDF3560-1,1/0/16,Mercy2960X-1,1/0/24,,
MDF3560-1,1/0/10,Mercy2960X-1,1/0/23,,
,,,,,
MDF3560-1,1/0/13,Office2920-2,48,,
MDF3560-1,1/0/15,Office2920-1,48,,
MDF3560-1,1/0/18,Office2920-3,48,,
,,,,,
MDF3560-1,1/1/4,ATHLETIC-BUILDING,24,,
MDF3560-1,1/1/3,Science2920,48,,
,,,,,
MDF3560-1,1/1/2,CONCESSION-STAND,24,,
,,,,,
MDF3560-1,1/1/1,ADVANCEMENT-OFFICE,48,,
,,,,,
Science2920,47,MERCY-2960-A2,1/0/24,,
,,,,,
CONCESSION-STAND,23,MERCY-2960-B1,1/0/24,,
,,,,,
ADVANCEMENT-OFFICE,47,MERCY-2960-A1,1/0/24,,
